attribute_name,attribute_value,fpr,for,fnr,fpr_disparity,for_disparity,fnr_disparity
education-num,1.00-9.00,0.00039032006245121,0.09887403237156932,0.7553763440860215,1.000001,1.000001,1.000001
education-num,10.00-13.00,0.1364124597207304,0.17959183673469387,0.2834138486312399,349.48872280451127,1.8163711067615655,0.37519655761858095
education-num,13.00-16.00,0.2672811059907834,0.22058823529411764,0.12968299711815562,684.7741945483871,2.2310037213732468,0.17168098195001386
education-num,9.00-10.00,0.0059931506849315065,0.14443625644804717,0.6758620689655173,15.354453054794519,1.4608118214425267,0.8947365503742791
marital-status, Divorced,0.0,0.08165680473372781,0.7340425531914894,1e-06,0.3080409696083623,1.9736329231724479
marital-status, Married-AF-spouse,0.0,0.3333333333333333,0.5,1e-06,1.2574588469520103,1.3443589766536963
marital-status, Married-civ-spouse,0.11928306551297899,0.26508509541000513,0.3719247467438495,1.000001,1.000001,1.000001
marital-status, Married-spouse-absent,0.0,0.0,0.0,1e-06,1e-06,1e-06
marital-status, Never-married,0.0,0.040399239543726234,0.7589285714285714,1e-06,0.15240202232545755,2.040544357420789
marital-status, Separated,0.0,0.05555555555555555,0.8,1e-06,0.20957730782533507,2.1509737626459144
marital-status, Widowed,0.0,0.08333333333333333,0.8095238095238095,1e-06,0.31436546173800256,2.176580581248842
occupation, ?,0.012903225806451613,0.04672897196261682,0.42857142857142855,0.09247411827956989,0.3072599937267955,2.295500021526419
occupation, Adm-clerical,0.014150943396226415,0.08467153284671533,0.6041666666666666,0.10141609433962265,0.5567453255674434,3.23601698173516
occupation, Armed-Forces,0.0,0.0,0.0,1e-06,1e-06,1e-06
occupation, Craft-repair,0.006711409395973154,0.19236016371077763,0.7157360406091371,0.04809943400447427,1.264834953166757,3.8336008887420907
occupation, Exec-managerial,0.14609571788413098,0.2771855010660981,0.30162412993039445,1.0470203115029386,1.822590596051056,1.6155494219559483
occupation, Farming-fishing,0.011560693641618497,0.07065217391304347,0.5652173913043478,0.08285263776493255,0.4645632394282311,3.0273982602739724
occupation, Handlers-cleaners,0.0,0.027237354085603113,0.5384615384615384,1e-06,0.1790959309738287,2.8840895142255007
occupation, Machine-op-inspct,0.012012012012012012,0.11081081081081082,0.803921568627451,0.08608708608608609,0.7286200299888931,4.305937073059361
occupation, Other-service,0.0,0.03556187766714083,0.7142857142857143,1e-06,0.23383252438667942,3.8258327025440315
occupation, Priv-house-serv,0.0,0.0,,1e-06,1e-06,1e-06
occupation, Prof-specialty,0.13953488372093023,0.15208333333333332,0.1867007672634271,1.000001,1.000001,1.000001
occupation, Protective-serv,0.056179775280898875,0.23636363636363636,0.6046511627906976,0.4026227228464419,1.5541728555417185,3.2386120226186685
occupation, Sales,0.06093189964157706,0.13673805601317957,0.44148936170212766,0.4366796140979689,0.8991005463880302,2.3646905948703005
occupation, Tech-support,0.04504504504504504,0.2980132450331126,0.7258064516129032,0.3228238228228228,1.9595401454232062,3.88753966548829
occupation, Transport-moving,0.008298755186721992,0.14642857142857144,0.640625,0.05947541217150761,0.9628190039138945,3.4312938082191784
relationship, Husband,0.12867132867132866,0.26228537596210777,0.3625204582651391,1.000001,1.000001,1.000001
relationship, Not-in-family,0.0,0.08606294155427104,0.73224043715847,1e-06,0.32812810673851867,2.019860625750904
relationship, Other-relative,0.0,0.005050505050505051,1.0,1e-06,0.019256763048088106,2.7584660112866817
relationship, Own-child,0.0,0.010617760617760617,0.6470588235294118,1e-06,0.04048271034627016,1.7848901249502058
relationship, Unmarried,0.0,0.057803468208092484,0.7843137254901961,1e-06,0.2203848776601991,2.163502969636613
relationship, Wife,0.059602649006622516,0.32701421800947866,0.4423076923076923,0.46321723956233807,1.2467888424785765,1.2200912934537245
race, Amer-Indian-Eskimo,0.0,0.03508771929824561,0.5,1e-06,0.25328172973502333,1.176237044657097
race, Asian-Pac-Islander,0.06521739130434782,0.1513157894736842,0.36507936507936506,1.5522511906941265,1.092274146982288,0.8588400167337535
race, Black,0.0213903743315508,0.07106598984771574,0.5185185185185185,0.5091169270725834,0.5129909043871793,1.21980134260736
race, Other,0.018518518518518517,0.07017543859649122,0.5714285714285714,0.44076339982672724,0.5065624594700467,1.3442707653223966
race, White,0.042014742014742014,0.13853292090145825,0.4250847457627119,1.000001,1.000001,1.000001
sex, Female,0.004807692307692308,0.06989515726410385,0.5645161290322581,0.0785440602006689,0.4233802680155394,1.3981395131229044
sex, Male,0.06121091151031271,0.1650887573964497,0.4037626628075253,1.000001,1.000001,1.000001
